observation,vintage,version,value,basis
1960-Q3,2024-11-15,39,159143,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q3,2025-11-13,43,171442,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q4,2015-05-27,1,120819,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q4,2015-05-27,2,122987,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q4,2016-08-25,5,126992,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q4,2017-11-23,10,130175,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q4,2018-08-09,13,131973,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q4,2019-11-11,19,133240,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q4,2020-11-12,23,138426,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q4,2021-11-11,27,145485,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q4,2022-11-15,31,153552,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q4,2023-11-10,35,144509,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q4,2024-11-15,39,160135,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q4,2025-11-13,43,172382,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1961-Q1,2015-05-27,1,122782,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1961-Q1,2015-05-27,2,124971,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
