observation,vintage,version,value,basis
2020 OCT,2021-07-14,70,5.1,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 OCT,2024-02-13,97,5.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 SEP,2020-12-15,63,4.9,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 SEP,2021-07-14,70,5.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 SEP,2022-06-13,81,5.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 SEP,2024-02-13,97,5.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 APR,2021-07-14,70,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 APR,2022-06-13,81,4.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 APR,2024-02-13,97,5.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 APR,2024-12-17,107,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 AUG,2021-11-16,74,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 AUG,2024-02-13,97,4.4,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 DEC,2022-03-15,78,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 DEC,2022-06-13,81,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 DEC,2024-02-13,97,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 FEB,2021-05-17,68,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 FEB,2021-07-14,70,4.9,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 FEB,2024-02-13,97,5.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 FEB,2024-12-17,107,4.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 JAN,2021-04-19,67,4.9,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 JAN,2021-07-14,70,5.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 JAN,2022-06-13,81,5.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 JAN,2024-02-13,97,5.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 JAN,2024-12-17,107,5.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 JUL,2021-10-11,73,4.5,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 JUL,2022-06-13,81,4.4,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 JUL,2024-02-13,97,4.6,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 JUL,2024-12-17,107,4.5,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 JUN,2021-09-13,72,4.6,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 JUN,2024-02-13,97,4.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 JUN,2024-12-17,107,4.6,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 MAR,2021-06-14,69,4.7,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 MAR,2021-07-14,70,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 MAR,2022-06-13,81,4.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 MAR,2024-02-13,97,5.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 MAR,2024-12-17,107,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 MAY,2021-08-16,71,4.7,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 MAY,2024-02-13,97,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 MAY,2024-12-17,107,4.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 NOV,2022-02-15,77,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 NOV,2022-06-13,81,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 NOV,2024-02-13,97,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 OCT,2022-01-18,76,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 OCT,2024-02-13,97,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2021 SEP,2021-12-14,75,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2021 SEP,2024-02-13,97,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 APR,2022-07-18,82,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 APR,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 APR,2024-12-17,107,3.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 AUG,2022-11-15,86,3.6,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 AUG,2024-02-13,97,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
