observation,vintage,version,value,basis
1998-08,2016-01-19,4,71.2,CPI All Items Index: Estimated pre-97 2005=100
1998-09,2015-10-12,1,91.6,CPI All Items Index: Estimated pre-97 2005=100
1998-09,2016-01-19,4,71.5,CPI All Items Index: Estimated pre-97 2005=100
1998-10,2015-10-12,1,91.6,CPI All Items Index: Estimated pre-97 2005=100
1998-10,2016-01-19,4,71.5,CPI All Items Index: Estimated pre-97 2005=100
1998-11,2015-10-12,1,91.7,CPI All Items Index: Estimated pre-97 2005=100
1998-11,2016-01-19,4,71.6,CPI All Items Index: Estimated pre-97 2005=100
1998-12,2015-10-12,1,91.9,CPI All Items Index: Estimated pre-97 2005=100
1998-12,2016-01-19,4,71.8,CPI All Items Index: Estimated pre-97 2005=100
1999-01,2015-10-12,1,91.4,CPI All Items Index: Estimated pre-97 2005=100
1999-01,2016-01-19,4,71.4,CPI All Items Index: Estimated pre-97 2005=100
1999-02,2015-10-12,1,91.5,CPI All Items Index: Estimated pre-97 2005=100
1999-02,2016-01-19,4,71.5,CPI All Items Index: Estimated pre-97 2005=100
1999-03,2015-10-12,1,92.0,CPI All Items Index: Estimated pre-97 2005=100
1999-03,2016-01-19,4,71.9,CPI All Items Index: Estimated pre-97 2005=100
1999-04,2015-10-12,1,92.4,CPI All Items Index: Estimated pre-97 2005=100
1999-04,2016-01-19,4,72.2,CPI All Items Index: Estimated pre-97 2005=100
1999-05,2015-10-12,1,92.7,CPI All Items Index: Estimated pre-97 2005=100
1999-05,2016-01-19,4,72.4,CPI All Items Index: Estimated pre-97 2005=100
1999-06,2015-10-12,1,92.6,CPI All Items Index: Estimated pre-97 2005=100
1999-06,2016-01-19,4,72.3,CPI All Items Index: Estimated pre-97 2005=100
1999-07,2015-10-12,1,92.0,CPI All Items Index: Estimated pre-97 2005=100
1999-07,2016-01-19,4,71.9,CPI All Items Index: Estimated pre-97 2005=100
1999-08,2015-10-12,1,92.3,CPI All Items Index: Estimated pre-97 2005=100
1999-08,2016-01-19,4,72.1,CPI All Items Index: Estimated pre-97 2005=100
1999-09,2015-10-12,1,92.7,CPI All Items Index: Estimated pre-97 2005=100
1999-09,2016-01-19,4,72.4,CPI All Items Index: Estimated pre-97 2005=100
1999-10,2015-10-12,1,92.6,CPI All Items Index: Estimated pre-97 2005=100
1999-10,2016-01-19,4,72.3,CPI All Items Index: Estimated pre-97 2005=100
1999-11,2015-10-12,1,92.7,CPI All Items Index: Estimated pre-97 2005=100
1999-11,2016-01-19,4,72.4,CPI All Items Index: Estimated pre-97 2005=100
1999-12,2015-10-12,1,93.0,CPI All Items Index: Estimated pre-97 2005=100
1999-12,2016-01-19,4,72.6,CPI All Items Index: Estimated pre-97 2005=100
2000-01,2015-10-12,1,92.1,CPI All Items Index: Estimated pre-97 2005=100
2000-01,2016-01-19,4,71.9,CPI All Items Index: Estimated pre-97 2005=100
2000-02,2015-10-12,1,92.4,CPI All Items Index: Estimated pre-97 2005=100
2000-02,2016-01-19,4,72.2,CPI All Items Index: Estimated pre-97 2005=100
2000-03,2015-10-12,1,92.6,CPI All Items Index: Estimated pre-97 2005=100
2000-03,2016-01-19,4,72.3,CPI All Items Index: Estimated pre-97 2005=100
2000-04,2015-10-12,1,92.9,CPI All Items Index: Estimated pre-97 2005=100
2000-04,2016-01-19,4,72.6,CPI All Items Index: Estimated pre-97 2005=100
2000-05,2015-10-12,1,93.2,CPI All Items Index: Estimated pre-97 2005=100
2000-05,2016-01-19,4,72.8,CPI All Items Index: Estimated pre-97 2005=100
2000-06,2015-10-12,1,93.3,CPI All Items Index: Estimated pre-97 2005=100
2000-06,2016-01-19,4,72.9,CPI All Items Index: Estimated pre-97 2005=100
2000-07,2015-10-12,1,92.8,CPI All Items Index: Estimated pre-97 2005=100
2000-07,2016-01-19,4,72.5,CPI All Items Index: Estimated pre-97 2005=100
2000-08,2015-10-12,1,92.8,CPI All Items Index: Estimated pre-97 2005=100
2000-08,2016-01-19,4,72.5,CPI All Items Index: Estimated pre-97 2005=100
2000-09,2015-10-12,1,93.6,CPI All Items Index: Estimated pre-97 2005=100
2000-09,2016-01-19,4,73.1,CPI All Items Index: Estimated pre-97 2005=100
2000-10,2015-10-12,1,93.5,CPI All Items Index: Estimated pre-97 2005=100
2000-10,2016-01-19,4,73.1,CPI All Items Index: Estimated pre-97 2005=100
